id,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
1,?,0.8350405909,0,61.9285891321,0,0,1,4,4,3,0,46,47,?
2,0.6315251635,0.6959494811,0,57.7814365153,2,2,1,4,3,3,1,87,38,?
3,0.4630937615,0.7584858546,-1,?,2,2,1,?,3,2,0,39,55,?
4,0.7199566212,0.3280319103,-1,55.9828201863,1,2,4,2,1,2,1,64,48,?
5,0.3354599112,0.3723602546,0,78.1332309587,3,3,3,3,3,2,1,48,33,?
6,0.2437910634,0.4609689414,0,63.7922326888,2,1,1,5,3,3,1,49,10,?
7,0.4755286173,0.3864117732,0,67.4833377623,2,2,4,5,4,2,0,70,52,?
8,0.7688553259,0.6322484947,1,79.2584009014,1,1,5,5,1,?,0,43,41,?
9,-0.0082830123,0.5664731165,0,69.8513380729,3,2,5,?,2,3,0,49,38,?
10,0.6030710272,0.8170825476,0,50.2352199007,1,1,3,3,1,3,1,32,40,?
11,?,0.3141886674,0,70.835776837,2,3,1,2,1,2,0,47,59,?
12,0.5773160814,0.7598293368,?,55.1651117354,2,2,2,5,4,5,1,56,64,?
13,0.5357229238,0.2784217834,-1,60.6113259332,3,2,4,4,2,4,0,?,40,?
14,0.6110378605,0.5164710114,-1,67.6066874747,1,2,3,5,3,1,0,23,52,?
15,0.6131079533,0.5348576447,1,69.4901452159,2,?,2,4,5,2,1,39,73,?
16,0.6730964202,?,1,80.90258147,2,4,?,5,4,4,1,71,47,?
17,0.7052480559,0.7918321547,0,65.0463539019,1,2,5,3,2,3,0,55,42,?
18,0.6422710516,?,-1,56.7911238914,1,0,?,2,3,?,0,43,30,?
19,0.5190991562,0.376200026,1,60.2738227594,3,1,3,5,2,2,1,31,31,?
20,0.6129650534,?,0,79.3366605909,4,3,1,3,3,3,0,73,26,?
21,0.410345784,0.2313892206,-1,66.3675575472,0,0,1,1,3,4,0,?,4,?
22,0.3478343183,0.1105769213,1,56.9719496142,0,3,5,2,1,4,1,50,60,?
23,0.5310407753,0.6153716928,0,64.8148344898,2,-1,5,1,2,1,1,55,76,?
24,0.4501091346,0.7572289779,0,71.9581958995,2,1,4,3,3,2,1,63,51,?
