id,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
1,0.9291998708,0.552681234,0,63.5638707444,2,0,3,?,2,2,0,9,24,0
2,0.7303292075,0.464852882,-1,66.8908153161,2,1,3,4,4,2,0,45,69,1
3,0.2189736715,0.4820584487,0,61.7008220832,0,2,3,5,3,1,?,39,59,0
4,0.2920697944,?,0,57.5800080947,1,-1,4,2,2,1,1,110,58,1
5,0.4812419106,0.5755114048,0,69.8030250869,-1,3,2,3,?,3,0,48,64,0
6,0.6504687615,0.4412851344,-1,62.7656988281,1,1,3,2,1,2,0,36,69,1
7,0.5120765137,0.8601217479,0,64.1200080918,?,0,2,3,1,3,1,68,10,1
8,0.4973195592,0.3127050596,-1,62.5905843164,?,1,4,1,4,2,0,69,18,1
9,0.5838946838,0.541244103,1,66.1519812295,0,2,2,5,4,?,1,28,10,1
10,0.3065085813,0.6769069144,0,53.767292085,2,?,3,?,0,2,0,32,48,1
11,0.9651395442,0.2670186252,0,72.5830270446,1,2,2,1,3,4,0,71,49,0
12,0.6209633151,-0.0331010693,-1,58.76148093,0,2,1,?,2,1,0,40,61,1
13,0.6242227215,0.6039620039,-1,70.8133644639,1,?,1,5,2,2,1,17,43,0
14,0.661824287,0.4824422883,-1,74.5487539881,?,2,3,3,2,3,1,33,83,?
15,0.241434344,0.5468257876,1,62.3395452376,?,-1,3,?,0,1,1,51,42,1
16,0.8142393362,0.1110004028,1,73.8384508224,3,2,3,?,0,3,0,28,37,0
17,0.5221210424,0.5250296781,-1,53.325357861,2,1,2,2,2,3,0,78,50,1
18,0.4614735586,0.3639885325,-1,62.7387734268,0,2,2,1,3,3,0,49,26,0
19,0.5966261024,0.0906831177,0,69.6042077604,0,-1,3,2,3,1,0,46,38,0
20,0.3132941366,0.2636377299,0,?,2,2,1,2,3,4,0,23,33,1
21,0.4377246065,?,1,?,2,1,5,2,2,3,0,48,38,1
22,0.721399038,0.2480519909,1,68.4491144521,0,3,1,?,1,2,1,49,31,0
23,0.4573242719,0.5001560032,-1,68.5294252667,?,1,1,5,3,2,?,35,46,1
24,0.5106097415,0.7616348753,0,76.1719633369,2,4,5,?,2,4,1,44,47,0
25,0.4354106677,?,0,73.0570046134,2,2,2,4,3,1,0,55,42,1
26,0.4393381843,0.2232183188,1,62.3903083978,2,2,3,3,3,4,1,56,47,1
27,0.33261486,?,-1,50.6316543661,3,2,2,1,1,2,1,70,58,1
28,0.7920647449,0.2062325189,0,58.3727133005,3,3,4,2,3,2,1,74,76,0
29,0.715656681,?,1,65.5988119893,2,1,4,4,4,3,1,22,-1,1
30,0.1483538986,0.5800886491,1,53.4752823846,0,3,3,2,3,3,0,37,36,0
31,0.0576343057,0.741939168,-1,?,-1,-1,2,3,2,4,1,72,58,1
32,0.4844403408,0.1761719925,1,69.0885508215,2,2,2,2,1,2,1,34,40,0
33,0.4735551627,0.0966784456,0,63.0432786701,0,3,4,2,2,1,0,47,80,0
34,0.5332644906,0.7086363164,1,73.8934185755,1,0,2,5,2,3,1,21,59,1
35,0.2792111451,0.4235891325,-1,62.7653897456,0,2,5,3,1,1,0,77,31,1
36,0.7913443158,0.7132191778,-1,69.4296237008,2,0,1,1,2,3,0,74,55,1
37,0.7359896672,0.7501107912,-1,59.6846323458,1,1,1,5,2,1,0,40,43,1
38,0.3210404971,0.7928208421,0,66.6876387573,1,1,1,4,1,3,0,36,50,1
39,0.7676500991,0.8216261754,-1,63.5115177285,2,1,1,2,3,-1,1,96,?,1
40,0.7863675046,0.5053891518,0,56.1549172954,-1,0,?,4,4,3,1,55,13,1
41,0.8059559176,0.8158250205,0,59.5930422118,3,3,5,3,2,4,1,92,48,1
42,0.7029316625,0.6275263244,1,61.5963867747,2,2,3,2,0,1,1,47,81,1
43,0.5888894237,0.4764494034,-1,63.9899810001,1,2,5,5,3,3,?,26,63,0
44,0.7268851471,0.7313618839,?,65.4320737315,1,2,2,1,2,4,1,67,53,0
45,0.7638839985,0.257340958,0,68.7839422737,2,2,1,3,2,1,1,43,?,0
46,0.4231640806,0.6080731525,0,66.9654906756,4,1,4,?,2,2,0,9,87,1
47,0.5316027146,0.9565593691,-1,66.2867751893,0,2,1,2,0,3,0,66,73,0
48,0.785560297,0.9341458855,1,53.6764318795,2,1,3,5,4,4,1,58,22,1
49,?,0.5260449697,0,80.6097143475,3,4,2,3,1,4,1,36,39,0
50,0.5682330332,0.5252284001,-1,61.9488834058,0,1,4,2,3,3,0,?,63,0
51,0.5611496697,0.4181879779,1,76.171064407,2,1,2,1,1,2,0,33,33,1
52,0.2392379584,-0.0547287587,-1,68.8096367665,2,2,4,4,3,3,1,29,42,1
53,?,0.6748460677,0,76.9341364329,0,2,3,2,2,3,?,30,64,0
54,0.659731226,0.5502957936,0,48.729925971,2,2,5,2,3,3,1,51,?,1
55,0.2027106707,0.4099362779,-1,71.439708777,1,3,?,?,1,2,0,24,53,0
56,0.2340893291,0.4480022915,1,54.0330751181,3,2,5,4,1,4,0,72,59,?
57,0.7180846187,0.5910201587,0,77.1589415655,1,1,2,2,3,1,0,42,28,1
58,0.46913233,?,0,70.1845514299,2,2,4,3,2,4,1,35,24,1
59,0.6564324968,0.2000390018,1,68.1386293605,2,2,4,1,2,2,1,25,58,0
60,0.658971542,0.6013733626,-1,69.4535832265,3,1,2,2,3,2,1,98,12,1
61,0.6675655368,0.4169609805,1,61.5938844424,2,1,1,2,3,2,0,69,63,1
62,0.3854528664,0.5206140705,0,53.7722636981,1,2,4,4,3,0,1,13,38,0
63,0.4583944533,0.2273319235,0,63.4961172462,0,0,2,5,3,2,1,29,50,1
64,0.5242757654,0.7166214247,0,58.6799568424,2,2,5,5,3,1,1,66,42,1
65,0.4683210962,0.4838809076,0,66.6428815894,1,0,3,?,3,1,1,33,60,1
66,0.3475945485,0.3488461348,0,73.4882678718,2,2,1,1,5,2,1,47,38,1
67,0.5186433234,0.4260005894,1,?,3,3,4,4,4,2,1,85,?,1
68,?,0.7485491648,?,68.18273773,0,3,4,4,4,3,1,35,52,0
69,0.438039483,0.3979988302,1,66.4826824398,2,2,3,3,2,5,0,49,58,1
70,0.4755376564,0.6428207018,?,48.7833889201,3,1,2,1,3,2,0,51,46,1
71,0.2430336237,0.5197034904,0,77.3104562534,1,2,?,2,1,3,1,78,?,0
72,0.8431956042,0.5312852298,0,79.6975294681,3,2,3,4,4,3,0,47,51,1
73,?,0.391239304,-1,53.2218953179,1,0,4,3,3,2,0,53,75,1
74,0.2986445097,0.4630374739,0,?,2,2,5,2,4,2,1,58,41,1
75,0.3788276073,0.3086855715,-1,57.8172907669,3,1,2,2,1,3,1,52,38,1
76,0.3881970769,0.3662810119,-1,62.7138491934,1,1,1,5,1,4,0,93,58,1
77,0.0761994826,0.4898854837,1,?,1,2,4,4,4,2,0,63,82,0
78,0.9104753496,0.6143283355,-1,78.1874326905,?,2,4,?,3,4,1,60,58,?
79,?,0.618484243,?,53.5381036296,3,3,?,1,4,4,1,40,48,1
80,0.3877636367,0.5330693425,1,64.6302028486,4,0,2,3,2,1,1,71,58,1
81,0.486753229,0.4700671685,0,67.4774362321,?,1,4,4,3,2,1,82,36,1
82,0.3406849051,0.5975337102,-1,70.8780679556,2,3,2,4,0,3,1,52,24,1
83,0.4039446075,0.7267376552,0,70.5549537183,2,3,2,5,2,5,1,43,53,0
84,?,0.8641371494,-1,76.3825501615,4,?,5,4,0,1,0,68,66,1
85,0.5229057496,0.3566692882,-1,69.0802151681,2,2,3,4,3,3,0,4,27,1
